Average fitness: 0.5886755952380953 Average size: 21.05
 Generation 0
0 (0-(1/((Math.sqrt(((regionNeighbourAllegianceScore/numToSoldiers)+allegiance))/numFromSoldiers)))-(Math.sqrt(1/(1/(Math.exp((1/(allegiance)+superRegionAllegianceScore)))))-(regionNeighbourAllegianceScore/Math.sqrt(Math.exp(numFromSoldiers))))) 0.17500000000000004
1 (0-((numFromSoldiers/regionNeighbourAllegianceScore))/superRegionAllegianceScore) 0.8333333333333334
2 (Math.exp(numFromSoldiers)*(numFromSoldiers/(Math.sqrt((regionNeighbourAllegianceScore+((Math.exp(Math.exp(regionNeighbourAllegianceScore))-superRegionAllegianceScore)+((1/(regionNeighbourAllegianceScore)+Math.exp(numFromSoldiers))*Math.exp((numToSoldiers*regionNeighbourAllegianceScore))))))/(allegiance-numFromSoldiers)))) 0.6428571428571428
3 Math.exp(1/(1/(((regionNeighbourAllegianceScore-allegiance)*Math.sqrt(allegiance))))) 0.14375000000000004
4 0-(1/((((1/((superRegionAllegianceScore+allegiance))+((numToSoldiers*superRegionAllegianceScore)-(numToSoldiers/numToSoldiers)))-1/(((allegiance*numToSoldiers)*0-(regionNeighbourAllegianceScore))))*1/(Math.sqrt((0-(allegiance)+(numToSoldiers*numToSoldiers))))))) 1.0
5 (Math.exp(1/(0-(((numFromSoldiers+superRegionAllegianceScore)/(superRegionAllegianceScore-regionNeighbourAllegianceScore)))))*(Math.sqrt(((Math.sqrt(regionNeighbourAllegianceScore)-(superRegionAllegianceScore+superRegionAllegianceScore))/(1/(allegiance)/(superRegionAllegianceScore-numFromSoldiers))))/Math.sqrt(((Math.exp(allegiance)-(numFromSoldiers*numFromSoldiers))+Math.sqrt(Math.sqrt(allegiance)))))) 0.6428571428571428
6 Math.sqrt(0-((Math.sqrt((((0-(numToSoldiers)/0-(numToSoldiers))*0-((numFromSoldiers-regionNeighbourAllegianceScore)))*(0-((numToSoldiers/numFromSoldiers))+0-((numFromSoldiers*allegiance)))))+(1/(0-((Math.exp(numToSoldiers)+(allegiance-numToSoldiers))))*Math.exp(((0-(numToSoldiers)*(superRegionAllegianceScore*regionNeighbourAllegianceScore))+(Math.sqrt(superRegionAllegianceScore)+(superRegionAllegianceScore+regionNeighbourAllegianceScore)))))))) 0.25312500000000004
7 0-(Math.exp((1/(1/(numFromSoldiers))+allegiance))) 0.12693452380952386
8 numFromSoldiers 0.37187499999999996
9 (Math.exp((allegiance*numFromSoldiers))/numFromSoldiers) 0.9523809523809523
